title,aired_day,aired_time,season,year,link,
One Piece,0,12:00,1,2022,https://www.bilibili.tv/en/play/37976/11168002,
Boruto: Naruto Next Generations,0,16:30,1,2022,https://www.bilibili.tv/en/play/1005426/10502559,
Shikimori's Not Just a Cutie,0,00:30,1,2022,https://www.bilibili.tv/en/play/1049425/11249215,
Trapped in a Dating Sim: The World of Otome Games is Tough for Mobs,0,20:00,1,2022,https://www.bilibili.tv/en/play/1048185/11199834,
Requiem of the Rose King,0,21:00,1,2022,https://www.bilibili.tv/en/play/1034838/11092144,
BUILD-DIVIDE -#FFFFFF- CODE WHITE,0,00:00,1,2022,https://www.bilibili.tv/en/play/1048242/11269171,
"Don't Hurt Me, My Healer!",0,19:00,1,2022,https://www.bilibili.tv/en/play/1050596/11265503,
BUSTED! DARKLORD,1,19:00,1,2022,https://www.bilibili.tv/en/play/1045369/11271431,
Kyoukai Senki,1,23:00,1,2022,https://www.bilibili.tv/en/play/1028697/10811973,
I'm Quitting Heroing,2,22:30,1,2022,https://www.bilibili.tv/en/play/1049915/11254479,
Ascendance of a Bookworm Season3,2,02:00,1,2022,https://www.bilibili.tv/en/play/1049294/11244377,
The Greatest Demon Lord is reborn as a Typical Nobody,3,20:00,1,2022,https://www.bilibili.tv/en/play/1047521/11202280,
The Rising of the Shield Hero Season 2,3,21:00,1,2022,https://www.bilibili.tv/en/play/1047893/11258327,
DEAIMON,3,23:30,1,2022,https://www.bilibili.tv/en/play/1049994/11259709,
RPG Real Estate,3,21:30,1,2022,https://www.bilibili.tv/en/play/1047987/11196362,
BIRDIE WING -Golf Girls’ Story-,3,11:00,1,2022,https://www.bilibili.tv/en/play/1050167/11267920,
Skeleton Knight in Another World,4,23:00,1,2022,https://www.bilibili.tv/en/play/1047664/11203479,
Ya Boy Kongming!,4,22:00,1,2022,https://www.bilibili.tv/en/play/1047063/11191678,
Heroines Run The Show,4,21:30,1,2022,https://www.bilibili.tv/en/play/1047791/11195086,
Date A Live IV,5,22:00,1,2022,https://www.bilibili.tv/en/play/1049041/11263011,
KAGUYA-SAMA LOVE IS WAR ?Ultra Romantic,5,23:30,1,2022,https://www.bilibili.tv/en/play/1048975/11245327,
The Dawn of the Witch,5,02:00,1,2022,https://www.bilibili.tv/en/play/1049174/11270257,
The Executioner and Her Way of Life,5,23:30,1,2022,https://www.bilibili.tv/en/play/1050301/11266731,
"Science Fell in Love, So I Tried to Prove It r=1-sin?",5,23:30,1,2022,https://www.bilibili.tv/en/play/1048554/11197615,
Love after World Domination,5,22:00,1,2022,https://www.bilibili.tv/en/play/1049679/11261831,
SPY×FAMILY,6,22:00,1,2022,https://www.bilibili.tv/en/play/1048837/11246582,
Aharen-san wa Hakarenai,6,00:30,1,2022,https://www.bilibili.tv/en/play/1047011/11193915,
CUE!,6,01:00,1,2022,https://www.bilibili.tv/en/play/1036198/11077320,
The Demon Girl Next Door S2,6,20:30,1,2022,https://www.bilibili.tv/en/play/1048404/11260739,
In the Heart of Kunoichi Tsubaki,6,23:30,1,2022,https://www.bilibili.tv/en/play/1050744/11264058,
Love Live! Nijigasaki High School Idol Club 2nd Season,6,20:30,1,2022,https://www.bilibili.tv/en/play/1049771/11240381,
A Couple of Cuckoos,6,23:30,1,2022,https://www.bilibili.tv/en/play/1050808,
,,,,,,
